station_id;stationname;date;daytype;rides
40020;Harlem-Lake;01/16/2015;WEEKDAY;3843
40020;Harlem-Lake;01/17/2015;SATURDAY;2392
40020;Harlem-Lake;01/18/2015;SUNDAY/HOLIDAY;1514
40020;Harlem-Lake;01/19/2015;WEEKDAY;2737
40020;Harlem-Lake;01/20/2015;WEEKDAY;3800
40020;Harlem-Lake;01/21/2015;WEEKDAY;3940
40020;Harlem-Lake;01/22/2015;WEEKDAY;3912
40020;Harlem-Lake;01/23/2015;WEEKDAY;3833
40020;Harlem-Lake;01/24/2015;SATURDAY;2261
40020;Harlem-Lake;01/25/2015;SUNDAY/HOLIDAY;1402
40020;Harlem-Lake;01/26/2015;WEEKDAY;3673
40020;Harlem-Lake;01/27/2015;WEEKDAY;3885
40020;Harlem-Lake;01/28/2015;WEEKDAY;3944
40020;Harlem-Lake;01/29/2015;WEEKDAY;3872
40020;Harlem-Lake;01/30/2015;WEEKDAY;4010
40020;Harlem-Lake;01/31/2015;SATURDAY;2311
40030;Pulaski-Lake;01/01/2015;SUNDAY/HOLIDAY;811
40030;Pulaski-Lake;01/02/2015;WEEKDAY;1529
40030;Pulaski-Lake;01/03/2015;SATURDAY;1096
40030;Pulaski-Lake;01/04/2015;SUNDAY/HOLIDAY;801
40030;Pulaski-Lake;01/05/2015;WEEKDAY;1490
40030;Pulaski-Lake;01/06/2015;WEEKDAY;1566
40030;Pulaski-Lake;01/07/2015;WEEKDAY;1085
40030;Pulaski-Lake;01/08/2015;WEEKDAY;1205
40030;Pulaski-Lake;01/09/2015;WEEKDAY;1506
40030;Pulaski-Lake;01/10/2015;SATURDAY;1031
40030;Pulaski-Lake;01/11/2015;SUNDAY/HOLIDAY;830
40030;Pulaski-Lake;01/12/2015;WEEKDAY;1726
40030;Pulaski-Lake;01/13/2015;WEEKDAY;1694
40030;Pulaski-Lake;01/14/2015;WEEKDAY;1703
40030;Pulaski-Lake;01/15/2015;WEEKDAY;1770
40030;Pulaski-Lake;01/16/2015;WEEKDAY;1839
40030;Pulaski-Lake;01/17/2015;SATURDAY;1171
40030;Pulaski-Lake;01/18/2015;SUNDAY/HOLIDAY;858
40030;Pulaski-Lake;01/19/2015;WEEKDAY;1276
40030;Pulaski-Lake;01/20/2015;WEEKDAY;1884
40030;Pulaski-Lake;01/21/2015;WEEKDAY;1806
40030;Pulaski-Lake;01/22/2015;WEEKDAY;1786
40030;Pulaski-Lake;01/23/2015;WEEKDAY;1828
40030;Pulaski-Lake;01/24/2015;SATURDAY;1335
40030;Pulaski-Lake;01/25/2015;SUNDAY/HOLIDAY;814
40030;Pulaski-Lake;01/26/2015;WEEKDAY;1705
40030;Pulaski-Lake;01/27/2015;WEEKDAY;1730
40030;Pulaski-Lake;01/28/2015;WEEKDAY;1763
40030;Pulaski-Lake;01/29/2015;WEEKDAY;1710
40030;Pulaski-Lake;01/30/2015;WEEKDAY;1909
40030;Pulaski-Lake;01/31/2015;SATURDAY;1187
40040;Quincy/Wells;01/01/2015;SUNDAY/HOLIDAY;1117
40040;Quincy/Wells;01/02/2015;WEEKDAY;4645
40040;Quincy/Wells;01/03/2015;SATURDAY;1217
40040;Quincy/Wells;01/04/2015;SUNDAY/HOLIDAY;1009
40040;Quincy/Wells;01/05/2015;WEEKDAY;8626
40040;Quincy/Wells;01/06/2015;WEEKDAY;8642
40040;Quincy/Wells;01/07/2015;WEEKDAY;6678
40040;Quincy/Wells;01/08/2015;WEEKDAY;7906
40040;Quincy/Wells;01/09/2015;WEEKDAY;7828
40040;Quincy/Wells;01/10/2015;SATURDAY;1236
40040;Quincy/Wells;01/11/2015;SUNDAY/HOLIDAY;910
40040;Quincy/Wells;01/12/2015;WEEKDAY;8707
40040;Quincy/Wells;01/13/2015;WEEKDAY;8388
40040;Quincy/Wells;01/14/2015;WEEKDAY;8368
40040;Quincy/Wells;01/15/2015;WEEKDAY;8267
40040;Quincy/Wells;01/16/2015;WEEKDAY;7683
40040;Quincy/Wells;01/17/2015;SATURDAY;1597
40040;Quincy/Wells;01/18/2015;SUNDAY/HOLIDAY;1172
40040;Quincy/Wells;01/19/2015;WEEKDAY;4788
40040;Quincy/Wells;01/20/2015;WEEKDAY;8219
40040;Quincy/Wells;01/21/2015;WEEKDAY;8192
40040;Quincy/Wells;01/22/2015;WEEKDAY;8033
40040;Quincy/Wells;01/23/2015;WEEKDAY;7680
40040;Quincy/Wells;01/24/2015;SATURDAY;1391
40040;Quincy/Wells;01/25/2015;SUNDAY/HOLIDAY;1138
40040;Quincy/Wells;01/26/2015;WEEKDAY;7906
40040;Quincy/Wells;01/27/2015;WEEKDAY;8278
40040;Quincy/Wells;01/28/2015;WEEKDAY;8185
40040;Quincy/Wells;01/29/2015;WEEKDAY;7916
40040;Quincy/Wells;01/30/2015;WEEKDAY;7593
40040;Quincy/Wells;01/31/2015;SATURDAY;1390
40050;Davis;01/01/2015;SUNDAY/HOLIDAY;1400
40050;Davis;01/02/2015;WEEKDAY;2997
40050;Davis;01/03/2015;SATURDAY;2079
40050;Davis;01/04/2015;SUNDAY/HOLIDAY;1667
40050;Davis;01/05/2015;WEEKDAY;3524
40050;Davis;01/06/2015;WEEKDAY;3551
40050;Davis;01/07/2015;WEEKDAY;2768
40050;Davis;01/08/2015;WEEKDAY;3202
40050;Davis;01/09/2015;WEEKDAY;3548
40050;Davis;01/10/2015;SATURDAY;2334
40050;Davis;01/11/2015;SUNDAY/HOLIDAY;1708
40050;Davis;01/12/2015;WEEKDAY;3724
40050;Davis;01/13/2015;WEEKDAY;3781
40050;Davis;01/14/2015;WEEKDAY;3761
40050;Davis;01/15/2015;WEEKDAY;3870
40050;Davis;01/16/2015;WEEKDAY;4150
40050;Davis;01/17/2015;SATURDAY;3024
40050;Davis;01/18/2015;SUNDAY/HOLIDAY;2099
40050;Davis;01/19/2015;WEEKDAY;3101
40050;Davis;01/20/2015;WEEKDAY;3704
40050;Davis;01/21/2015;WEEKDAY;3790
40050;Davis;01/22/2015;WEEKDAY;3730
40050;Davis;01/23/2015;WEEKDAY;4107
40050;Davis;01/24/2015;SATURDAY;2768
40050;Davis;01/25/2015;SUNDAY/HOLIDAY;1769
40050;Davis;01/26/2015;WEEKDAY;3535
40050;Davis;01/27/2015;WEEKDAY;3761
40050;Davis;01/28/2015;WEEKDAY;3685
40050;Davis;01/29/2015;WEEKDAY;3769
40050;Davis;01/30/2015;WEEKDAY;4099
40050;Davis;01/31/2015;SATURDAY;2766
40060;Belmont-O'Hare;01/01/2015;SUNDAY/HOLIDAY;2023
40060;Belmont-O'Hare;01/02/2015;WEEKDAY;3969
40060;Belmont-O'Hare;01/03/2015;SATURDAY;2652
40060;Belmont-O'Hare;01/04/2015;SUNDAY/HOLIDAY;2205
40060;Belmont-O'Hare;01/05/2015;WEEKDAY;4994
40060;Belmont-O'Hare;01/06/2015;WEEKDAY;5030
40060;Belmont-O'Hare;01/07/2015;WEEKDAY;3953
40060;Belmont-O'Hare;01/08/2015;WEEKDAY;4515
40060;Belmont-O'Hare;01/09/2015;WEEKDAY;4996
40060;Belmont-O'Hare;01/10/2015;SATURDAY;2805
40060;Belmont-O'Hare;01/11/2015;SUNDAY/HOLIDAY;2265
40060;Belmont-O'Hare;01/12/2015;WEEKDAY;5465
40060;Belmont-O'Hare;01/13/2015;WEEKDAY;5523
40060;Belmont-O'Hare;01/14/2015;WEEKDAY;5548
40060;Belmont-O'Hare;01/15/2015;WEEKDAY;5640
40060;Belmont-O'Hare;01/16/2015;WEEKDAY;5636
40060;Belmont-O'Hare;01/17/2015;SATURDAY;3253
40060;Belmont-O'Hare;01/18/2015;SUNDAY/HOLIDAY;2423
40060;Belmont-O'Hare;01/19/2015;WEEKDAY;4052
40060;Belmont-O'Hare;01/20/2015;WEEKDAY;5517
40060;Belmont-O'Hare;01/21/2015;WEEKDAY;5610
40060;Belmont-O'Hare;01/22/2015;WEEKDAY;5594
40060;Belmont-O'Hare;01/23/2015;WEEKDAY;5652
40060;Belmont-O'Hare;01/24/2015;SATURDAY;3296
40060;Belmont-O'Hare;01/25/2015;SUNDAY/HOLIDAY;2361
40060;Belmont-O'Hare;01/26/2015;WEEKDAY;5579
40060;Belmont-O'Hare;01/27/2015;WEEKDAY;5694
40060;Belmont-O'Hare;01/28/2015;WEEKDAY;5654
40060;Belmont-O'Hare;01/29/2015;WEEKDAY;5709
40060;Belmont-O'Hare;01/30/2015;WEEKDAY;5644
40060;Belmont-O'Hare;01/31/2015;SATURDAY;3197
40070;Jackson/Dearborn;01/01/2015;SUNDAY/HOLIDAY;1730
40070;Jackson/Dearborn;01/02/2015;WEEKDAY;4471
40070;Jackson/Dearborn;01/03/2015;SATURDAY;2191
40070;Jackson/Dearborn;01/04/2015;SUNDAY/HOLIDAY;1594
40070;Jackson/Dearborn;01/05/2015;WEEKDAY;6929
40070;Jackson/Dearborn;01/06/2015;WEEKDAY;7286
40070;Jackson/Dearborn;01/07/2015;WEEKDAY;5569
40070;Jackson/Dearborn;01/08/2015;WEEKDAY;6531
40070;Jackson/Dearborn;01/09/2015;WEEKDAY;6325
40070;Jackson/Dearborn;01/10/2015;SATURDAY;2231
40070;Jackson/Dearborn;01/11/2015;SUNDAY/HOLIDAY;1594
40070;Jackson/Dearborn;01/12/2015;WEEKDAY;7842
40070;Jackson/Dearborn;01/13/2015;WEEKDAY;8368
40070;Jackson/Dearborn;01/14/2015;WEEKDAY;8230
40070;Jackson/Dearborn;01/15/2015;WEEKDAY;8267
40070;Jackson/Dearborn;01/16/2015;WEEKDAY;7463
40070;Jackson/Dearborn;01/17/2015;SATURDAY;2944
40070;Jackson/Dearborn;01/18/2015;SUNDAY/HOLIDAY;2124
40070;Jackson/Dearborn;01/19/2015;WEEKDAY;4541
40070;Jackson/Dearborn;01/20/2015;WEEKDAY;8292
40070;Jackson/Dearborn;01/21/2015;WEEKDAY;8488
40070;Jackson/Dearborn;01/22/2015;WEEKDAY;8525
40070;Jackson/Dearborn;01/23/2015;WEEKDAY;7573
40070;Jackson/Dearborn;01/24/2015;SATURDAY;3056
40070;Jackson/Dearborn;01/25/2015;SUNDAY/HOLIDAY;1839
40070;Jackson/Dearborn;01/26/2015;WEEKDAY;8211
40070;Jackson/Dearborn;01/27/2015;WEEKDAY;8788
40070;Jackson/Dearborn;01/28/2015;WEEKDAY;8586
40070;Jackson/Dearborn;01/29/2015;WEEKDAY;8400
40070;Jackson/Dearborn;01/30/2015;WEEKDAY;7450
40070;Jackson/Dearborn;01/31/2015;SATURDAY;2738
40080;Sheridan;01/01/2015;SUNDAY/HOLIDAY;2616
40080;Sheridan;01/02/2015;WEEKDAY;4065
40080;Sheridan;01/03/2015;SATURDAY;2874
40080;Sheridan;01/04/2015;SUNDAY/HOLIDAY;2347
40080;Sheridan;01/05/2015;WEEKDAY;5064
40080;Sheridan;01/06/2015;WEEKDAY;5198
40080;Sheridan;01/07/2015;WEEKDAY;4024
40080;Sheridan;01/08/2015;WEEKDAY;4513
40080;Sheridan;01/09/2015;WEEKDAY;5023
40080;Sheridan;01/10/2015;SATURDAY;3267
40080;Sheridan;01/11/2015;SUNDAY/HOLIDAY;2526
40080;Sheridan;01/12/2015;WEEKDAY;5439
40080;Sheridan;01/13/2015;WEEKDAY;5554
40080;Sheridan;01/14/2015;WEEKDAY;5611
40080;Sheridan;01/15/2015;WEEKDAY;5798
40080;Sheridan;01/16/2015;WEEKDAY;5679
40080;Sheridan;01/17/2015;SATURDAY;3695
40080;Sheridan;01/18/2015;SUNDAY/HOLIDAY;2699
40080;Sheridan;01/19/2015;WEEKDAY;3885
40080;Sheridan;01/20/2015;WEEKDAY;5542
40080;Sheridan;01/21/2015;WEEKDAY;5597
40080;Sheridan;01/22/2015;WEEKDAY;5711
40080;Sheridan;01/23/2015;WEEKDAY;5823
40080;Sheridan;01/24/2015;SATURDAY;3687
40080;Sheridan;01/25/2015;SUNDAY/HOLIDAY;2485
40080;Sheridan;01/26/2015;WEEKDAY;5668
40080;Sheridan;01/27/2015;WEEKDAY;5646
40080;Sheridan;01/28/2015;WEEKDAY;5634
40080;Sheridan;01/29/2015;WEEKDAY;5702
40080;Sheridan;01/30/2015;WEEKDAY;5765
40080;Sheridan;01/31/2015;SATURDAY;3563
40090;Damen-Brown;01/01/2015;SUNDAY/HOLIDAY;751
40090;Damen-Brown;01/02/2015;WEEKDAY;1843
40090;Damen-Brown;01/03/2015;SATURDAY;1087
40090;Damen-Brown;01/04/2015;SUNDAY/HOLIDAY;893
40090;Damen-Brown;01/05/2015;WEEKDAY;2386
40090;Damen-Brown;01/06/2015;WEEKDAY;2591
40090;Damen-Brown;01/07/2015;WEEKDAY;1870
40090;Damen-Brown;01/08/2015;WEEKDAY;2192
40090;Damen-Brown;01/09/2015;WEEKDAY;2369
40090;Damen-Brown;01/10/2015;SATURDAY;1303
40090;Damen-Brown;01/11/2015;SUNDAY/HOLIDAY;869
40090;Damen-Brown;01/12/2015;WEEKDAY;2578
40090;Damen-Brown;01/13/2015;WEEKDAY;2646
40090;Damen-Brown;01/14/2015;WEEKDAY;2597
40090;Damen-Brown;01/15/2015;WEEKDAY;2738
40090;Damen-Brown;01/16/2015;WEEKDAY;2675
40090;Damen-Brown;01/17/2015;SATURDAY;1553
40090;Damen-Brown;01/18/2015;SUNDAY/HOLIDAY;980
40090;Damen-Brown;01/19/2015;WEEKDAY;1757
40090;Damen-Brown;01/20/2015;WEEKDAY;2657
40090;Damen-Brown;01/21/2015;WEEKDAY;2639
40090;Damen-Brown;01/22/2015;WEEKDAY;2655
40090;Damen-Brown;01/23/2015;WEEKDAY;2669
40090;Damen-Brown;01/24/2015;SATURDAY;1515
40090;Damen-Brown;01/25/2015;SUNDAY/HOLIDAY;868
40090;Damen-Brown;01/26/2015;WEEKDAY;2536
40090;Damen-Brown;01/27/2015;WEEKDAY;2716
40090;Damen-Brown;01/28/2015;WEEKDAY;2641
40090;Damen-Brown;01/29/2015;WEEKDAY;2687
40090;Damen-Brown;01/30/2015;WEEKDAY;2712
40090;Damen-Brown;01/31/2015;SATURDAY;1399
40100;Morse;01/01/2015;SUNDAY/HOLIDAY;2433
40100;Morse;01/02/2015;WEEKDAY;3917
40100;Morse;01/03/2015;SATURDAY;2875
40100;Morse;01/04/2015;SUNDAY/HOLIDAY;2607
40100;Morse;01/05/2015;WEEKDAY;4298
40100;Morse;01/06/2015;WEEKDAY;4507
40100;Morse;01/07/2015;WEEKDAY;3501
40100;Morse;01/08/2015;WEEKDAY;3991
40100;Morse;01/09/2015;WEEKDAY;4621
40100;Morse;01/10/2015;SATURDAY;3368
40100;Morse;01/11/2015;SUNDAY/HOLIDAY;2952
40100;Morse;01/12/2015;WEEKDAY;4905
40100;Morse;01/13/2015;WEEKDAY;4963
40100;Morse;01/14/2015;WEEKDAY;5016
40100;Morse;01/15/2015;WEEKDAY;5104
40100;Morse;01/16/2015;WEEKDAY;5167
40100;Morse;01/17/2015;SATURDAY;3663
40100;Morse;01/18/2015;SUNDAY/HOLIDAY;2995
40100;Morse;01/19/2015;WEEKDAY;3709
40100;Morse;01/20/2015;WEEKDAY;5038
40100;Morse;01/21/2015;WEEKDAY;4929
40100;Morse;01/22/2015;WEEKDAY;5086
40100;Morse;01/23/2015;WEEKDAY;5053
40100;Morse;01/24/2015;SATURDAY;3727
40100;Morse;01/25/2015;SUNDAY/HOLIDAY;2673
40100;Morse;01/26/2015;WEEKDAY;4777
40100;Morse;01/27/2015;WEEKDAY;4928
40100;Morse;01/28/2015;WEEKDAY;4906
40100;Morse;01/29/2015;WEEKDAY;4752
40100;Morse;01/30/2015;WEEKDAY;5096
40100;Morse;01/31/2015;SATURDAY;3559
40120;35th/Archer;01/01/2015;SUNDAY/HOLIDAY;862
40120;35th/Archer;01/02/2015;WEEKDAY;2084
40120;35th/Archer;01/03/2015;SATURDAY;1232
40120;35th/Archer;01/04/2015;SUNDAY/HOLIDAY;910
40120;35th/Archer;01/05/2015;WEEKDAY;2505
40120;35th/Archer;01/06/2015;WEEKDAY;2580
40120;35th/Archer;01/07/2015;WEEKDAY;1821
40120;35th/Archer;01/08/2015;WEEKDAY;1980
40120;35th/Archer;01/09/2015;WEEKDAY;2416
40120;35th/Archer;01/10/2015;SATURDAY;1213
40120;35th/Archer;01/11/2015;SUNDAY/HOLIDAY;887
40120;35th/Archer;01/12/2015;WEEKDAY;3105
40120;35th/Archer;01/13/2015;WEEKDAY;3072
40120;35th/Archer;01/14/2015;WEEKDAY;3055
40120;35th/Archer;01/15/2015;WEEKDAY;3141
40120;35th/Archer;01/16/2015;WEEKDAY;3097
40120;35th/Archer;01/17/2015;SATURDAY;1535
40120;35th/Archer;01/18/2015;SUNDAY/HOLIDAY;1048
40120;35th/Archer;01/19/2015;WEEKDAY;1941
40120;35th/Archer;01/20/2015;WEEKDAY;3281
40120;35th/Archer;01/21/2015;WEEKDAY;3230
40120;35th/Archer;01/22/2015;WEEKDAY;3215
40120;35th/Archer;01/23/2015;WEEKDAY;2983
40120;35th/Archer;01/24/2015;SATURDAY;1461
40120;35th/Archer;01/25/2015;SUNDAY/HOLIDAY;854
40120;35th/Archer;01/26/2015;WEEKDAY;3141
40120;35th/Archer;01/27/2015;WEEKDAY;3246
40120;35th/Archer;01/28/2015;WEEKDAY;3236
40120;35th/Archer;01/29/2015;WEEKDAY;3185
40120;35th/Archer;01/30/2015;WEEKDAY;2985
40120;35th/Archer;01/31/2015;SATURDAY;1423
40130;51st;01/01/2015;SUNDAY/HOLIDAY;430
40130;51st;01/02/2015;WEEKDAY;852
40130;51st;01/03/2015;SATURDAY;602
40130;51st;01/04/2015;SUNDAY/HOLIDAY;452
40130;51st;01/05/2015;WEEKDAY;854
40130;51st;01/06/2015;WEEKDAY;803
40130;51st;01/07/2015;WEEKDAY;611
40130;51st;01/08/2015;WEEKDAY;686
40130;51st;01/09/2015;WEEKDAY;872
40130;51st;01/10/2015;SATURDAY;577
40130;51st;01/11/2015;SUNDAY/HOLIDAY;453
40130;51st;01/12/2015;WEEKDAY;980
40130;51st;01/13/2015;WEEKDAY;990
40130;51st;01/14/2015;WEEKDAY;1046
40130;51st;01/15/2015;WEEKDAY;1005
40130;51st;01/16/2015;WEEKDAY;1039
40130;51st;01/17/2015;SATURDAY;650
40130;51st;01/18/2015;SUNDAY/HOLIDAY;490
40130;51st;01/19/2015;WEEKDAY;597
40130;51st;01/20/2015;WEEKDAY;1059
40130;51st;01/21/2015;WEEKDAY;1116
40130;51st;01/22/2015;WEEKDAY;1098
40130;51st;01/23/2015;WEEKDAY;994
40130;51st;01/24/2015;SATURDAY;622
40130;51st;01/25/2015;SUNDAY/HOLIDAY;397
40130;51st;01/26/2015;WEEKDAY;1004
40130;51st;01/27/2015;WEEKDAY;1025
40130;51st;01/28/2015;WEEKDAY;1063
40130;51st;01/29/2015;WEEKDAY;1041
40130;51st;01/30/2015;WEEKDAY;1136
40130;51st;01/31/2015;SATURDAY;634
40140;Dempster-Skokie;01/01/2015;SUNDAY/HOLIDAY;542
40140;Dempster-Skokie;01/02/2015;WEEKDAY;1562
40140;Dempster-Skokie;01/03/2015;SATURDAY;816
40140;Dempster-Skokie;01/04/2015;SUNDAY/HOLIDAY;570
40140;Dempster-Skokie;01/05/2015;WEEKDAY;1767
40140;Dempster-Skokie;01/06/2015;WEEKDAY;1838
40140;Dempster-Skokie;01/07/2015;WEEKDAY;1317
40140;Dempster-Skokie;01/08/2015;WEEKDAY;1595
40140;Dempster-Skokie;01/09/2015;WEEKDAY;1620
40140;Dempster-Skokie;01/10/2015;SATURDAY;747
40140;Dempster-Skokie;01/11/2015;SUNDAY/HOLIDAY;607
40140;Dempster-Skokie;01/12/2015;WEEKDAY;2198
40140;Dempster-Skokie;01/13/2015;WEEKDAY;2192
40140;Dempster-Skokie;01/14/2015;WEEKDAY;2153
40140;Dempster-Skokie;01/15/2015;WEEKDAY;2179
40140;Dempster-Skokie;01/16/2015;WEEKDAY;2103
40140;Dempster-Skokie;01/17/2015;SATURDAY;899
40140;Dempster-Skokie;01/18/2015;SUNDAY/HOLIDAY;650
40140;Dempster-Skokie;01/19/2015;WEEKDAY;1582
40140;Dempster-Skokie;01/20/2015;WEEKDAY;2211
40140;Dempster-Skokie;01/21/2015;WEEKDAY;2149
40140;Dempster-Skokie;01/22/2015;WEEKDAY;2111
40140;Dempster-Skokie;01/23/2015;WEEKDAY;2038
40140;Dempster-Skokie;01/24/2015;SATURDAY;853
40140;Dempster-Skokie;01/25/2015;SUNDAY/HOLIDAY;630
40140;Dempster-Skokie;01/26/2015;WEEKDAY;2171
40140;Dempster-Skokie;01/27/2015;WEEKDAY;2251
40140;Dempster-Skokie;01/28/2015;WEEKDAY;2108
40140;Dempster-Skokie;01/29/2015;WEEKDAY;2141
40140;Dempster-Skokie;01/30/2015;WEEKDAY;2012
40140;Dempster-Skokie;01/31/2015;SATURDAY;869
40150;Pulaski-Cermak;01/01/2015;SUNDAY/HOLIDAY;491
40150;Pulaski-Cermak;01/02/2015;WEEKDAY;1052
40150;Pulaski-Cermak;01/03/2015;SATURDAY;694
40150;Pulaski-Cermak;01/04/2015;SUNDAY/HOLIDAY;554
40150;Pulaski-Cermak;01/05/2015;WEEKDAY;1096
40150;Pulaski-Cermak;01/06/2015;WEEKDAY;1095
40150;Pulaski-Cermak;01/07/2015;WEEKDAY;797
40150;Pulaski-Cermak;01/08/2015;WEEKDAY;862
40150;Pulaski-Cermak;01/09/2015;WEEKDAY;1030
40150;Pulaski-Cermak;01/10/2015;SATURDAY;725
40150;Pulaski-Cermak;01/11/2015;SUNDAY/HOLIDAY;599
40150;Pulaski-Cermak;01/12/2015;WEEKDAY;1203
40150;Pulaski-Cermak;01/13/2015;WEEKDAY;1208
40150;Pulaski-Cermak;01/14/2015;WEEKDAY;1257
40150;Pulaski-Cermak;01/15/2015;WEEKDAY;1305
40150;Pulaski-Cermak;01/16/2015;WEEKDAY;1322
40150;Pulaski-Cermak;01/17/2015;SATURDAY;839
40150;Pulaski-Cermak;01/18/2015;SUNDAY/HOLIDAY;576
40150;Pulaski-Cermak;01/19/2015;WEEKDAY;848
40150;Pulaski-Cermak;01/20/2015;WEEKDAY;1307
40150;Pulaski-Cermak;01/21/2015;WEEKDAY;1307
40150;Pulaski-Cermak;01/22/2015;WEEKDAY;1289
40150;Pulaski-Cermak;01/23/2015;WEEKDAY;1334
40150;Pulaski-Cermak;01/24/2015;SATURDAY;754
40150;Pulaski-Cermak;01/25/2015;SUNDAY/HOLIDAY;563
40150;Pulaski-Cermak;01/26/2015;WEEKDAY;1285
40150;Pulaski-Cermak;01/27/2015;WEEKDAY;1312
40150;Pulaski-Cermak;01/28/2015;WEEKDAY;1365
40150;Pulaski-Cermak;01/29/2015;WEEKDAY;1268
40150;Pulaski-Cermak;01/30/2015;WEEKDAY;1354
40150;Pulaski-Cermak;01/31/2015;SATURDAY;812
40160;LaSalle/Van Buren;01/01/2015;SUNDAY/HOLIDAY;270
40160;LaSalle/Van Buren;01/02/2015;WEEKDAY;1685
40160;LaSalle/Van Buren;01/03/2015;SATURDAY;403
40160;LaSalle/Van Buren;01/04/2015;SUNDAY/HOLIDAY;302
40160;LaSalle/Van Buren;01/05/2015;WEEKDAY;3025
40160;LaSalle/Van Buren;01/06/2015;WEEKDAY;3140
40160;LaSalle/Van Buren;01/07/2015;WEEKDAY;2552
40160;LaSalle/Van Buren;01/08/2015;WEEKDAY;2939
40160;LaSalle/Van Buren;01/09/2015;WEEKDAY;2951
40160;LaSalle/Van Buren;01/10/2015;SATURDAY;472
40160;LaSalle/Van Buren;01/11/2015;SUNDAY/HOLIDAY;264
40160;LaSalle/Van Buren;01/12/2015;WEEKDAY;3172
40160;LaSalle/Van Buren;01/13/2015;WEEKDAY;3183
40160;LaSalle/Van Buren;01/14/2015;WEEKDAY;3172
40160;LaSalle/Van Buren;01/15/2015;WEEKDAY;2953
40160;LaSalle/Van Buren;01/16/2015;WEEKDAY;2756
40160;LaSalle/Van Buren;01/17/2015;SATURDAY;589
40160;LaSalle/Van Buren;01/18/2015;SUNDAY/HOLIDAY;306
40160;LaSalle/Van Buren;01/19/2015;WEEKDAY;1405
40160;LaSalle/Van Buren;01/20/2015;WEEKDAY;3034
40160;LaSalle/Van Buren;01/21/2015;WEEKDAY;3215
40160;LaSalle/Van Buren;01/22/2015;WEEKDAY;3025
40160;LaSalle/Van Buren;01/23/2015;WEEKDAY;2734
40160;LaSalle/Van Buren;01/24/2015;SATURDAY;547
40160;LaSalle/Van Buren;01/25/2015;SUNDAY/HOLIDAY;326
40160;LaSalle/Van Buren;01/26/2015;WEEKDAY;2920
40160;LaSalle/Van Buren;01/27/2015;WEEKDAY;3036
40160;LaSalle/Van Buren;01/28/2015;WEEKDAY;3133
40160;LaSalle/Van Buren;01/29/2015;WEEKDAY;2951
