service_date;day_type;bus;rail_boardings;total_rides
06/03/2001;U;432408;204795;637203
06/04/2001;W;1029447;599699;1629146
06/05/2001;W;24/02/4461;606051;1541494
06/06/2001;W;09/07/4649;627572;1631815
06/07/2001;W;26/11/4650;646177;1650925
06/08/2001;W;18/02/4672;642049;1654551
06/09/2001;A;25/09/3650;358013;997457
06/10/2001;U;11/04/3100;242257;680650
06/11/2001;W;01/01/4392;586260;1496446
06/12/2001;W;30/11/4490;605737;1552051
06/13/2001;W;01/04/4395;599114;1510486
06/14/2001;W;01/06/4341;602538;1494248
06/15/2001;W;01/12/4398;612983;1525695
06/16/2001;A;31/12/3748;340782;1016117
06/17/2001;U;422714;237483;660197
06/18/2001;W;909937;590688;1500625
06/19/2001;W;944122;613028;1557150
06/20/2001;W;939471;612707;1552178
06/21/2001;W;900375;596076;1496451
06/22/2001;W;957514;626565;1584079
06/23/2001;A;631716;328467;960183
06/24/2001;U;443240;281620;724860
06/25/2001;W;947130;621006;1568136
06/26/2001;W;944301;635326;1579627
06/27/2001;W;944274;634994;1579268
06/28/2001;W;942731;611002;1553733
06/29/2001;W;996694;666587;1663281
06/30/2001;A;649995;363078;1013073
07/01/2001;U;435317;271052;706369
07/02/2001;W;958879;627767;1586646
07/03/2001;W;990209;827670;1817879
07/04/2001;U;461383;306172;767555
07/05/2001;W;918500;606574;1525074
07/06/2001;W;10/12/4522;643965;1601976
07/07/2001;A;22/06/3540;347374;946546
07/08/2001;U;06/05/3103;256208;695721
07/09/2001;W;03/06/4461;597633;1533175
07/10/2001;W;05/08/4465;610069;1547135
07/11/2001;W;05/07/4530;614294;1575069
07/12/2001;W;11/10/4499;636236;1585787
07/13/2001;W;09/06/4520;641244;1598341
07/14/2001;A;12/12/3623;333365;963025
07/15/2001;U;17/04/3050;241827;661964
07/16/2001;W;11/01/4310;623660;1503906
07/17/2001;W;22/07/4419;625940;1546190
07/18/2001;W;935427;612765;1548192
07/19/2001;W;949691;618451;1568142
07/20/2001;W;937942;610617;1548559
07/21/2001;A;593545;305457;899002
07/22/2001;U;379766;200473;580239
07/23/2001;W;854318;574685;1429003
07/24/2001;W;939133;630753;1569886
07/25/2001;W;874776;612547;1487323
07/26/2001;W;954848;636674;1591522
07/27/2001;W;933625;634484;1568109
07/28/2001;A;607195;357848;965043
07/29/2001;U;432534;236416;668950
07/30/2001;W;908372;586076;1494448
07/31/2001;W;884617;596502;1481119
08/01/2001;W;873553;612734;1486287
08/02/2001;W;790639;549367;1340006
08/03/2001;W;984483;603405;1587888
08/04/2001;A;648406;319386;967792
08/05/2001;U;453344;225172;678516
08/06/2001;W;23/08/4384;585919;1493418
08/07/2001;W;04/11/4296;610601;1486032
08/08/2001;W;05/03/4239;596163;1450530
08/09/2001;W;06/02/4217;602242;1448547
08/10/2001;W;27/03/4491;626136;1572567
08/11/2001;A;03/08/3563;323141;930755
08/12/2001;U;01/06/3050;234020;654202
08/13/2001;W;04/04/4343;571719;1464101
08/14/2001;W;04/02/4273;598019;1464776
08/15/2001;W;19/01/4306;584203;1462996
08/16/2001;W;30/09/4092;581402;1382289
08/17/2001;W;27/09/4443;598538;1527621
08/18/2001;A;569201;296970;866171
08/19/2001;U;439920;235842;675762
08/20/2001;W;876831;606101;1482932
08/21/2001;W;894995;608242;1503237
08/22/2001;W;864392;599157;1463549
08/23/2001;W;906026;612615;1518641
08/24/2001;W;926014;619276;1545290
08/25/2001;A;518211;290626;808837
08/26/2001;U;439715;245014;684729
08/27/2001;W;900370;590849;1491219
08/28/2001;W;933626;628532;1562158
08/29/2001;W;901782;625324;1527106
08/30/2001;W;913200;617044;1530244
08/31/2001;W;986749;616977;1603726
09/01/2001;A;639977;319699;959676
09/02/2001;U;470771;243520;714291
09/03/2001;U;448248;213584;661832
09/04/2001;W;1120482;625640;1746122
09/05/2001;W;1047878;644950;1692828
09/06/2001;W;08/09/4783;644766;1698012
09/07/2001;W;26/06/4830;659824;1730163
09/08/2001;A;11/02/3667;341332;986759
09/09/2001;U;12/02/3247;215773;707799
09/10/2001;W;20/05/4845;661092;1736873
09/11/2001;W;18/10/4521;525953;1483546
09/12/2001;W;09/06/4449;588507;1519672
09/13/2001;W;01/10/4665;607718;1617889
09/14/2001;W;25/10/4732;613645;1648311
09/15/2001;A;28/01/3584;277875;892972
09/16/2001;U;11/10/3042;191270;608662
09/17/2001;W;30/10/4418;609381;1529366
09/18/2001;W;1039365;626518;1665883
09/19/2001;W;939442;625612;1565054
09/20/2001;W;973094;646112;1619206
09/21/2001;W;967583;626032;1593615
09/22/2001;A;641096;307331;948427
09/23/2001;U;361048;190813;551861
09/24/2001;W;940207;622061;1562268
09/25/2001;W;968563;638815;1607378
09/26/2001;W;1028542;639258;1667800
09/27/2001;W;1024125;642860;1666985
09/28/2001;W;1024142;645884;1670026
09/29/2001;A;639464;330008;969472
09/30/2001;U;412037;219852;631889
10/01/2001;W;1069361;639795;1709156
10/02/2001;W;1078342;658020;1736362
10/03/2001;W;1018388;657170;1675558
10/04/2001;W;902598;649681;1552279
10/05/2001;W;1034680;651273;1685953
10/06/2001;A;628587;326860;955447
10/07/2001;U;24/08/3008;287483;692409
10/08/2001;W;16/10/4097;531294;1334023
10/09/2001;W;09/07/4789;645072;1700449
10/10/2001;W;26/09/4360;637568;1536335
10/11/2001;W;14/09/4706;647937;1673065
10/12/2001;W;28/04/4638;625089;1625242
10/13/2001;A;03/05/3311;273528;789009
10/14/2001;U;24/12/3019;209437;618502
10/15/2001;W;11/08/4740;627937;1665450
10/16/2001;W;07/04/4698;634396;1656443
10/17/2001;W;23/05/4738;641266;1677968
10/18/2001;W;20/08/4685;646140;1663574
10/19/2001;W;956423;642121;1598544
10/20/2001;A;632093;319399;951492
10/21/2001;U;433014;213638;646652
10/22/2001;W;1012782;621894;1634676
10/23/2001;W;1000304;638393;1638697
10/24/2001;W;867027;625218;1492245
10/25/2001;W;947047;618401;1565448
10/26/2001;W;981933;613047;1594980
10/27/2001;A;582223;291912;874135
10/28/2001;U;405374;208481;613855
10/29/2001;W;1019942;623086;1643028
10/30/2001;W;994503;629005;1623508
10/31/2001;W;978585;628587;1607172
11/01/2001;W;1029256;641642;1670898
11/02/2001;W;1042714;645966;1688680
11/03/2001;A;648350;315004;963354
11/04/2001;U;443453;222988;666441
11/05/2001;W;1057697;629864;1687561
11/06/2001;W;1044478;638448;1682926
11/07/2001;W;11/12/4730;640396;1674378
11/08/2001;W;05/06/4650;636400;1640974
11/09/2001;W;24/04/4451;620257;1552106
11/10/2001;A;11/07/3592;322793;940977
11/11/2001;U;16/04/3039;218931;635049
11/12/2001;W;22/03/4125;527242;1339989
11/13/2001;W;18/01/4711;641101;1667816
11/14/2001;W;28/09/4622;624162;1618624
11/15/2001;W;18/07/4592;615519;1598953
11/16/2001;W;15/02/4765;623566;1670033
11/17/2001;A;03/06/3688;354828;1008038
11/18/2001;U;12/05/3035;201199;615882
11/19/2001;W;999890;600948;1600838
11/20/2001;W;1005581;612391;1617972
11/21/2001;W;988420;589664;1578084
11/22/2001;U;322788;151915;474703
11/23/2001;W;641780;356646;998426
11/24/2001;A;504548;253414;757962
11/25/2001;U;373755;186416;560171
11/26/2001;W;993754;600439;1594193
11/27/2001;W;985583;613858;1599441
11/28/2001;W;981842;614405;1596247
11/29/2001;W;972155;613392;1585547
11/30/2001;W;1039082;625037;1664119
12/01/2001;A;640965;307646;948611
12/02/2001;U;418878;210748;629626
12/03/2001;W;1051222;599106;1650328
12/04/2001;W;1049416;613294;1662710
12/05/2001;W;1039940;622264;1662204
12/06/2001;W;1020021;623428;1643449
12/07/2001;W;1023743;618300;1642043
12/08/2001;A;13/09/3597;315639;935713
12/09/2001;U;05/02/3014;207697;614614
12/10/2001;W;15/08/4652;597416;1602792
12/11/2001;W;19/07/4666;614387;1624849
12/12/2001;W;04/08/4586;609660;1590919
12/13/2001;W;24/12/4610;610845;1601011
12/14/2001;W;27/04/4591;600798;1583784
12/15/2001;A;02/02/3606;319051;942189
12/16/2001;U;21/07/3015;213347;620795
12/17/2001;W;18/05/4624;593314;1588374
12/18/2001;W;08/11/4677;608735;1623327
12/19/2001;W;27/01/4525;591815;1550605
12/20/2001;W;987827;586572;1574399
12/21/2001;W;994499;569456;1563955
12/22/2001;A;586969;268254;855223
12/23/2001;U;393359;184628;577987
12/24/2001;W;525908;257022;782930
12/25/2001;U;218872;93525;312397
12/26/2001;W;619967;380064;1000031
12/27/2001;W;690465;436814;1127279
12/28/2001;W;739404;456879;1196283
12/29/2001;A;473194;224772;697966
12/30/2001;U;306871;160102;466973
12/31/2001;W;650794;321388;972182
01/01/2002;U;294360;122471;416831
01/02/2002;W;766853;491630;1258483
01/03/2002;W;838088;523292;1361380
01/04/2002;W;858709;528849;1387558
01/05/2002;A;542470;245820;788290
01/06/2002;U;370508;177606;548114
01/07/2002;W;953807;568929;1522736
01/08/2002;W;11/07/4564;585667;1558867
01/09/2002;W;15/07/4598;591671;1577293
01/10/2002;W;26/03/4567;591742;1565930
01/11/2002;W;18/10/4655;591718;1598253
01/12/2002;A;12/07/3449;266826;832781
01/13/2002;U;17/10/2916;176272;547650
01/14/2002;W;20/05/4599;593642;1579573
01/15/2002;W;09/08/4591;601489;1584579
01/16/2002;W;09/10/4516;608009;1563767
01/17/2002;W;31/03/4552;598282;1566997
01/18/2002;W;05/02/4550;581331;1549261
01/19/2002;A;20/05/3423;273407;829812
01/20/2002;U;374069;180903;554972
01/21/2002;W;648994;392312;1041306
01/22/2002;W;1012565;603877;1616442
01/23/2002;W;990484;600427;1590911
01/24/2002;W;1007218;605974;1613192
01/25/2002;W;1028432;601352;1629784
01/26/2002;A;611356;283489;894845
01/27/2002;U;408878;189116;597994
01/28/2002;W;1009923;595606;1605529
01/29/2002;W;979719;597598;1577317
01/30/2002;W;936013;602737;1538750
01/31/2002;W;879895;602988;1482883
02/01/2002;W;954707;585087;1539794
02/02/2002;A;614544;273954;888498
02/03/2002;U;401958;180019;581977
02/04/2002;W;988315;576117;1564432
02/05/2002;W;997471;596800;1594271
02/06/2002;W;1011650;597747;1609397
02/07/2002;W;1011915;600731;1612646
02/08/2002;W;05/12/4711;594502;1621538
02/09/2002;A;09/12/3680;296011;946488
02/10/2002;U;05/05/2939;180097;559710
02/11/2002;W;14/11/4596;592118;1577132
02/12/2002;W;28/12/4121;541814;1353381
02/13/2002;W;09/10/4691;612626;1632301
02/14/2002;W;26/07/4676;609706;1623828
02/15/2002;W;10/11/4658;589737;1597391
02/16/2002;A;15/02/3590;292835;910142
02/17/2002;U;27/08/3060;209261;633183
02/18/2002;W;07/02/3978;458524;1217537
02/19/2002;W;25/11/4597;597374;1582764
02/20/2002;W;986615;601360;1587975
02/21/2002;W;977261;603816;1581077
02/22/2002;W;1016162;592329;1608491
02/23/2002;A;629609;292764;922373
02/24/2002;U;421160;199343;620503
02/25/2002;W;979843;581612;1561455
02/26/2002;W;933204;587918;1521122
02/27/2002;W;939542;587701;1527243
02/28/2002;W;941136;592045;1533181
03/01/2002;W;973482;593596;1567078
03/02/2002;A;512767;264847;777614
03/03/2002;U;331715;174890;506605
03/04/2002;W;726815;493625;1220440
03/05/2002;W;978944;588656;1567600
03/06/2002;W;1008215;593126;1601341
03/07/2002;W;1008102;594952;1603054
03/08/2002;W;993813;587766;1581579
03/09/2002;A;493346;254471;747817
03/10/2002;U;361758;180401;542159
03/11/2002;W;26/06/4661;591093;1599706
03/12/2002;W;09/06/4696;612457;1633837
03/13/2002;W;14/07/4698;615718;1637863
03/14/2002;W;13/11/4666;607626;1618205
03/15/2002;W;20/05/4653;591415;1597069
03/16/2002;A;03/02/3584;342098;957201
03/17/2002;U;20/09/2968;189640;579984
03/18/2002;W;02/07/4618;579486;1572399
03/19/2002;W;19/09/4612;590290;1581091
03/20/2002;W;30/05/4619;591401;1584646
03/21/2002;W;28/01/4448;574802;1505469
03/22/2002;W;07/03/4532;564876;1526262
03/23/2002;A;617210;290118;907328
03/24/2002;U;370997;190845;561842
03/25/2002;W;895573;544841;1440414
03/26/2002;W;938869;571086;1509955
03/27/2002;W;989393;580724;1570117
03/28/2002;W;965734;571056;1536790
03/29/2002;W;755230;472276;1227506
03/30/2002;A;616271;268843;885114
03/31/2002;U;377026;158135;535161
04/01/2002;W;971162;566861;1538023
04/02/2002;W;970537;585155;1555692
04/03/2002;W;1007100;597081;1604181
04/04/2002;W;995075;600930;1596005
04/05/2002;W;1014222;613919;1628141
04/06/2002;A;639707;318104;957811
04/07/2002;U;355354;180625;535979
04/08/2002;W;937560;578417;1515977
04/09/2002;W;1013106;607047;1620153
04/10/2002;W;1020986;618972;1639958
04/11/2002;W;04/07/4736;629240;1665254
04/12/2002;W;28/09/4410;591700;1508731
04/13/2002;A;20/11/3628;308737;940202
04/14/2002;U;31/08/3101;210876;649776
04/15/2002;W;02/01/4436;586214;1512472
04/16/2002;W;30/10/4363;599906;1499802
04/17/2002;W;19/09/4342;593532;1485717
04/18/2002;W;13/07/4355;594280;1491145
04/19/2002;W;18/04/4379;591974;1497519
04/20/2002;A;31/07/3471;300177;874186
04/21/2002;U;31/01/2875;190405;546549
04/22/2002;W;29/12/4566;583247;1557348
04/23/2002;W;1021788;620463;1642251
04/24/2002;W;918721;602085;1520806
04/25/2002;W;1000933;626040;1626973
04/26/2002;W;1026348;615024;1641372
04/27/2002;A;513069;272746;785815
04/28/2002;U;365481;201038;566519
04/29/2002;W;1001321;584792;1586113
04/30/2002;W;1000608;604417;1605025
05/01/2002;W;1031532;605198;1636730
05/02/2002;W;976392;598086;1574478
05/03/2002;W;1075694;606513;1682207
05/04/2002;A;660227;312131;972358
05/05/2002;U;443915;207913;651828
05/06/2002;W;994227;598141;1592368
05/07/2002;W;1010608;616111;1626719
05/08/2002;W;968509;600435;1568944
05/09/2002;W;1009271;614202;1623473
05/10/2002;W;1047188;609528;1656716
05/11/2002;A;492841;252501;745342
05/12/2002;U;21/05/2881;185931;544377
05/13/2002;W;15/09/4571;570031;1545853
05/14/2002;W;18/07/4663;598752;1608117
05/15/2002;W;24/06/4680;600667;1616218
05/16/2002;W;13/03/4381;579727;1485967
05/17/2002;W;17/02/4615;583205;1574887
05/18/2002;A;20/02/3649;298727;937589
05/19/2002;U;14/05/3048;204421;623855
05/20/2002;W;13/10/4621;582646;1576758
05/21/2002;W;14/02/4662;613667;1622513
05/22/2002;W;07/09/4637;618307;1618227
05/23/2002;W;03/07/4553;606199;1575373
05/24/2002;W;995434;576461;1571895
05/25/2002;A;558891;270672;829563
05/26/2002;U;436570;216172;652742
05/27/2002;U;395210;200876;596086
05/28/2002;W;959547;588932;1548479
05/29/2002;W;980049;601576;1581625
05/30/2002;W;990460;606972;1597432
05/31/2002;W;1040502;635809;1676311
06/01/2002;A;667264;371223;1038487
06/02/2002;U;423135;238648;661783
06/03/2002;W;1001778;583147;1584925
06/04/2002;W;915667;575065;1490732
06/05/2002;W;1005307;602096;1607403
06/06/2002;W;1044279;611344;1655623
06/07/2002;W;1036716;606193;1642909
06/08/2002;A;649574;323142;972716
06/09/2002;U;446760;228298;675058
06/10/2002;W;944065;583512;1527577
06/11/2002;W;969387;604162;1573549
06/12/2002;W;12/07/4601;606658;1593372
06/13/2002;W;21/12/4547;596032;1563185
06/14/2002;W;12/07/4583;605447;1585587
06/15/2002;A;09/11/3665;318379;963347
06/16/2002;U;06/10/3150;225229;682062
06/17/2002;W;23/05/4583;576747;1556837
06/18/2002;W;19/11/4628;619540;1616246
06/19/2002;W;17/07/4618;618449;1611377
06/20/2002;W;19/05/4571;628191;1603894
06/21/2002;W;24/11/4582;616117;1596027
06/22/2002;A;12/11/3635;341170;975183
06/23/2002;U;14/11/3116;232456;676910
06/24/2002;W;884749;597643;1482392
06/25/2002;W;926613;600847;1527460
06/26/2002;W;879533;601333;1480866
06/27/2002;W;914452;613276;1527728
06/28/2002;W;934562;650340;1584902
06/29/2002;A;636792;369705;1006497
06/30/2002;U;441101;309418;750519
07/01/2002;W;948966;601509;1550475
07/02/2002;W;955991;621541;1577532
07/03/2002;W;1004276;785621;1789897
07/04/2002;U;441126;279204;720330
07/05/2002;W;807831;500685;1308516
07/06/2002;A;597877;324834;922711
07/07/2002;U;445916;256321;702237
07/08/2002;W;929870;575055;1504925
07/09/2002;W;919623;579348;1498971
07/10/2002;W;941513;591208;1532721
07/11/2002;W;969657;594276;1563933
07/12/2002;W;963191;618865;1582056
07/13/2002;A;11/10/3610;324416;949266
07/14/2002;U;18/12/3085;239865;673031
07/15/2002;W;14/03/4500;608087;1557792
07/16/2002;W;07/04/4490;621832;1567909
07/17/2002;W;17/01/4451;595378;1527130
07/18/2002;W;11/11/4480;596288;1538931
07/19/2002;W;21/10/4528;612971;1573124
07/20/2002;A;13/05/3640;339113;974770
07/21/2002;U;27/04/3029;229156;641633
07/22/2002;W;01/08/4365;595784;1496321
07/23/2002;W;05/12/4514;623156;1578240
07/24/2002;W;09/09/4488;617518;1563020
07/25/2002;W;931679;608190;1539869
07/26/2002;W;942389;590601;1532990
07/27/2002;A;595484;327980;923464
07/28/2002;U;414913;215040;629953
07/29/2002;W;893147;565324;1458471
07/30/2002;W;934322;614162;1548484
07/31/2002;W;912632;603775;1516407
08/01/2002;W;969159;607964;1577123
08/02/2002;W;1004199;612785;1616984
08/03/2002;A;674990;325279;1000269
08/04/2002;U;451144;234620;685764
08/05/2002;W;941406;569627;1511033
08/06/2002;W;955681;592722;1548403
08/07/2002;W;940727;585313;1526040
08/08/2002;W;945096;589840;1534936
08/09/2002;W;968109;592938;1561047
08/10/2002;A;667701;340015;1007716
08/11/2002;U;437332;230526;667858
08/12/2002;W;908503;579800;1488303
08/13/2002;W;17/11/4286;578996;1450787
08/14/2002;W;23/06/4346;586107;1479665
08/15/2002;W;03/10/4419;599375;1519698
08/16/2002;W;24/02/4374;592393;1496059
08/17/2002;A;01/06/3663;340569;984645
08/18/2002;U;12/12/3243;285298;776166
08/19/2002;W;10/03/4221;545503;1393301
08/20/2002;W;20/04/4415;586734;1505430
08/21/2002;W;27/11/4376;572717;1477390
08/22/2002;W;26/11/4171;533893;1363690
08/23/2002;W;15/02/4373;570031;1473323
08/24/2002;A;04/03/3613;308392;934117
08/25/2002;U;441076;227484;668560
08/26/2002;W;920546;572967;1493513
08/27/2002;W;923644;596884;1520528
08/28/2002;W;922170;590348;1512518
08/29/2002;W;808555;532322;1340877
08/30/2002;W;987793;608056;1595849
08/31/2002;A;666152;345777;1011929
09/01/2002;U;477226;257229;734455
09/02/2002;U;381482;201136;582618
09/03/2002;W;1106907;625970;1732877
09/04/2002;W;1087925;634665;1722590
09/05/2002;W;1083538;634950;1718488
09/06/2002;W;1082951;634809;1717760
09/07/2002;A;643335;318886;962221
09/08/2002;U;439942;218716;658658
09/09/2002;W;1071206;630453;1701659
09/10/2002;W;1050992;640278;1691270
09/11/2002;W;1045640;631554;1677194
09/12/2002;W;1059762;645114;1704876
09/13/2002;W;27/01/4814;655102;1719447
09/14/2002;A;14/08/3659;327322;970011
09/15/2002;U;30/10/3053;221310;642739
09/16/2002;W;20/11/4773;617848;1667515
09/17/2002;W;16/08/4814;644444;1708990
09/18/2002;W;15/02/4745;643763;1682925
09/19/2002;W;11/08/4743;640884;1679492
09/20/2002;W;09/09/4690;626196;1645476
09/21/2002;A;14/01/3748;330553;1005536
09/22/2002;U;18/08/3041;215142;632115
09/23/2002;W;24/11/4789;637798;1693313
09/24/2002;W;28/01/4790;664958;1720538
09/25/2002;W;1064437;666345;1730782
09/26/2002;W;1057421;662347;1719768
09/27/2002;W;1058970;651373;1710343
09/28/2002;A;632188;338847;971035
09/29/2002;U;421618;232441;654059
09/30/2002;W;1048696;634065;1682761
10/01/2002;W;1098830;653561;1752391
10/02/2002;W;1059836;648879;1708715
10/03/2002;W;1100107;655905;1756012
10/04/2002;W;1024955;626723;1651678
10/05/2002;A;672805;338207;1011012
10/06/2002;U;423210;223075;646285
10/07/2002;W;1086922;641838;1728760
10/08/2002;W;1074824;650758;1725582
10/09/2002;W;1064324;648974;1713298
10/10/2002;W;1072954;655002;1727956
10/11/2002;W;1074197;658585;1732782
10/12/2002;A;612527;332781;945308
10/13/2002;U;407917;323103;731020
10/14/2002;W;27/12/4108;542057;1348875
10/15/2002;W;29/04/4825;653527;1721982
10/16/2002;W;11/01/4737;645880;1682085
10/17/2002;W;11/11/4720;645590;1675890
10/18/2002;W;21/04/4800;643043;1702359
10/19/2002;A;24/03/3693;333538;988503
10/20/2002;U;20/12/3062;222167;646934
10/21/2002;W;12/08/4796;632256;1690224
10/22/2002;W;20/05/4768;645112;1692769
10/23/2002;W;04/09/4673;635553;1648619
10/24/2002;W;02/06/4678;642039;1656837
10/25/2002;W;03/09/4700;632981;1655907
10/26/2002;A;626185;331030;957215
10/27/2002;U;413385;217556;630941
10/28/2002;W;1041265;628314;1669579
10/29/2002;W;1025525;636398;1661923
10/30/2002;W;1036745;639993;1676738
10/31/2002;W;1000155;635297;1635452
11/01/2002;W;1069031;628183;1697214
11/02/2002;A;647400;313106;960506
11/03/2002;U;418620;211506;630126
11/04/2002;W;1072235;633872;1706107
11/05/2002;W;994530;613203;1607733
11/06/2002;W;1045767;644971;1690738
11/07/2002;W;1065889;664817;1730706
11/08/2002;W;995294;646927;1642221
11/09/2002;A;630142;329264;959406
11/10/2002;U;419858;220134;639992
11/11/2002;W;780558;519021;1299579
11/12/2002;W;1029700;637242;1666942
11/13/2002;W;1035982;635224;1671206
